# Created by Octave 3.8.1, Sun Nov 29 19:25:36 2015 CET <hitch@hitch-GA-MA790XT-UD4P>
# name: RES
# type: matrix
# rows: 6
# columns: 4
 0.22 1 1 1
 0.3 1 1 50
 0.88 25 25 50
 0.93 13 13 37
 0.88 19 13 43
 0.93 19 16 40


# name: res_app
# type: matrix
# rows: 0
# columns: 0


# name: res_test
# type: matrix
# rows: 0
# columns: 0


