# Created by Octave 3.8.1, Mon Nov 30 12:59:05 2015 CET <hitch@hitch-GA-MA790XT-UD4P>
# name: RES
# type: matrix
# rows: 31
# columns: 3
 0.01 0.918720503408495 0.88
 0.011 0.9140010487676979 0.89
 0.012 0.918720503408495 0.85
 0.013 0.9035133717881489 0.86
 0.014 0.9244887257472469 0.89
 0.015 0.9124278972207656 0.87
 0.016 0.9255374934452019 0.87
 0.017 0.9155742003146303 0.84
 0.018 0.9260618772941793 0.88
 0.019 0.9134766649187205 0.86
 0.02 0.9061352910330361 0.88
 0.021 0.9160985841636078 0.89
 0.022 0.918720503408495 0.86
 0.023 0.9292081803880441 0.89
 0.024 0.9208180388044048 0.86
 0.025 0.9061352910330361 0.87
 0.026 0.918720503408495 0.85
 0.027 0.9255374934452019 0.87
 0.028 0.9077084425799685 0.88
 0.029 0.8972207656004195 0.85
 0.03 0.9244887257472469 0.85
 0.031 0.9150498164656529 0.85
 0.032 0.9202936549554274 0.86
 0.033 0.9145254326166754 0.86
 0.034 0.9218668065023597 0.85
 0.035 0.9192448872574724 0.82
 0.036 0.9092815941269009 0.83
 0.037 0.9297325642370216 0.85
 0.038 0.9155742003146303 0.87
 0.039 0.908232826428946 0.86
 0.04 0.9234399580492921 0.88


