# Created by Octave 3.8.1, Sun Nov 29 16:21:28 2015 CET <hitch@hitch-GA-MA790XT-UD4P>
# name: RES
# type: matrix
# rows: 60
# columns: 4
 80 1 0.1830099632931306 0.1
 80 2 0.3717881489250131 0.26
 80 3 0.4824331410592554 0.38
 80 4 0.535395909805978 0.42
 80 5 0.6192973256423702 0.51
 80 6 0.7173571054011536 0.64
 80 7 0.7461982170949135 0.6
 80 8 0.8395385422128998 0.76
 80 9 0.869952805453592 0.78
 80 10 0.8898793917147352 0.77
 80 11 0.8814892501310959 0.8
 80 12 0.8552700576822234 0.75
 80 13 0.8820136339800734 0.78
 80 14 0.8767697954902989 0.79
 80 15 0.8631358154168851 0.76
 80 16 0.8615626638699528 0.76
 80 17 0.8578919769271106 0.76
 80 18 0.8820136339800734 0.8
 80 19 0.8862087047718931 0.8100000000000001
 80 20 0.8736234923964342 0.77
 80 21 0.8636601992658626 0.78
 80 22 0.8893550078657577 0.78
 80 23 0.8615626638699528 0.74
 80 24 0.8599895123230205 0.76
 80 25 0.8804404824331411 0.79
 80 26 0.853696906135291 0.73
 80 27 0.8694284216046145 0.76
 80 28 0.8610382800209754 0.77
 80 29 0.8746722600943891 0.79
 80 30 0.843209229155742 0.76
 80 31 0.8820136339800734 0.79
 80 32 0.8720503408495018 0.78
 80 33 0.8993183009963294 0.82
 80 34 0.8872574724698479 0.82
 80 35 0.8447823807026743 0.77
 80 36 0.8578919769271106 0.77
 80 37 0.8647089669638175 0.79
 80 38 0.8872574724698479 0.79
 80 39 0.8715259570005244 0.8
 80 40 0.8626114315679078 0.77
 80 41 0.8710015731515469 0.78
 80 42 0.8563188253801783 0.78
 80 43 0.8720503408495018 0.79
 80 44 0.8751966439433665 0.78
 80 45 0.8657577346617724 0.79
 80 46 0.8720503408495018 0.79
 80 47 0.8762454116413214 0.8100000000000001
 80 48 0.8584163607760881 0.78
 80 49 0.8689040377556371 0.77
 80 50 0.8710015731515469 0.79
 80 51 0.8720503408495018 0.75
 80 52 0.8657577346617724 0.79
 80 53 0.8809648662821186 0.77
 80 54 0.8720503408495018 0.79
 80 55 0.8468799160985842 0.78
 80 56 0.8804404824331411 0.8100000000000001
 80 57 0.8689040377556371 0.8
 80 58 0.865233350812795 0.78
 80 59 0.8778185631882538 0.8
 80 60 0.853696906135291 0.77


# name: res_app
# type: matrix
# rows: 1
# columns: 60
 0.1830099632931306 0.3717881489250131 0.4824331410592554 0.535395909805978 0.6192973256423702 0.7173571054011536 0.7461982170949135 0.8395385422128998 0.869952805453592 0.8898793917147352 0.8814892501310959 0.8552700576822234 0.8820136339800734 0.8767697954902989 0.8631358154168851 0.8615626638699528 0.8578919769271106 0.8820136339800734 0.8862087047718931 0.8736234923964342 0.8636601992658626 0.8893550078657577 0.8615626638699528 0.8599895123230205 0.8804404824331411 0.853696906135291 0.8694284216046145 0.8610382800209754 0.8746722600943891 0.843209229155742 0.8820136339800734 0.8720503408495018 0.8993183009963294 0.8872574724698479 0.8447823807026743 0.8578919769271106 0.8647089669638175 0.8872574724698479 0.8715259570005244 0.8626114315679078 0.8710015731515469 0.8563188253801783 0.8720503408495018 0.8751966439433665 0.8657577346617724 0.8720503408495018 0.8762454116413214 0.8584163607760881 0.8689040377556371 0.8710015731515469 0.8720503408495018 0.8657577346617724 0.8809648662821186 0.8720503408495018 0.8468799160985842 0.8804404824331411 0.8689040377556371 0.865233350812795 0.8778185631882538 0.853696906135291


# name: res_test
# type: matrix
# rows: 1
# columns: 60
 0.1 0.26 0.38 0.42 0.51 0.64 0.6 0.76 0.78 0.77 0.8 0.75 0.78 0.79 0.76 0.76 0.76 0.8 0.8100000000000001 0.77 0.78 0.78 0.74 0.76 0.79 0.73 0.76 0.77 0.79 0.76 0.79 0.78 0.82 0.82 0.77 0.77 0.79 0.79 0.8 0.77 0.78 0.78 0.79 0.78 0.79 0.79 0.8100000000000001 0.78 0.77 0.79 0.75 0.79 0.77 0.79 0.78 0.8100000000000001 0.8 0.78 0.8 0.77


